CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  510726 5107263ATIVO   MUNIC   Santo AfSANTO AFONSO           5      51                N       S       N       N           1993                       1        -14,4908-57,0005     4001169,503
  510729 5107297ATIVO   MUNIC   Sao JoseSAO JOSE DO POVO       5      51                N       S       N       N           1993                       1        -16,4663-54,2562     281 444,106
  510730 5107305ATIVO   MUNIC   Sao JoseSAO JOSE DO RIO        5      51                N       S       N       N           1979                       1        -13,4521-56,7216     3505057,854
  510735 5107354ATIVO   MUNIC   Sao JoseSAO JOSE DO XING       5      51                N       S       N       N           1993                       1        -10,8003-52,7398     3377463,654
  510740 5107404ATIVO   MUNIC   Sao PedrSAO PEDRO DA CIP       5      51                N       S       N       N           1993                       1        -16,0027 -54,919     264  344,36
  510757 5107578ATIVO   MUNIC   RondolanRONDOLANDIA            5      51                N       S       N       N           2001                       1        -10,8443-61,4597       012653,69
  510760 5107602ATIVO   MUNIC   RondonopRONDONOPOLIS           5      51                N       S       N       N           1953                       1        -16,4702-54,6336     2274165,232
  510770 5107701ATIVO   MUNIC   Rosario ROSARIO OESTE          5      51                N       S       N       N           1833                       1        -14,8264-56,4283     1928802,047
  510774 5107743ATIVO   MUNIC   Santa CrSANTA CRUZ DO XI       5      51                N       S       N       N           2001                       1        -10,1524-52,3986       05625,401
  510775 5107750ATIVO   MUNIC   Salto DoSALTO DO CEU           5      51                N       S       N       S           1979                       1        -15,1358-58,1268     3001312,186
  510776 5107768ATIVO   MUNIC   Santa RiSANTA RITA DO TR       5      51                N       S       N       N           2001                       1        -13,8162-55,2777       03345,196
  510777 5107776ATIVO   MUNIC   Santa TeSANTA TEREZINHA        5      51                N       S       N       N           1980                       1        -10,4661-50,5063     1986450,838
  510779 5107792ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       5      51                N       S       N       N           2001                       1        -14,8008-53,6117       03596,798
  510780 5107800ATIVO   MUNIC   Santo AnSANTO ANTONIO DO       5      51                N       S       N       N           1899                       1        -15,8692-56,0942     14112260,08
  510785 5107859ATIVO   MUNIC   Sao FeliSAO FELIX DO ARA       5      51                N       S       N       N           1976                       1        -11,6161 -50,662     19516848,22
  510787 5107875ATIVO   MUNIC   Sapezal SAPEZAL                5      51                N       S       N       S           1997                       1        -13,5382-58,8121     37013597,51
  510788 5107883ATIVO   MUNIC   Serra NoSERRA NOVA DOURA       5      51                N       S       N       N           2001                       1        -12,0893-51,3996       01479,893
  510790 5107909ATIVO   MUNIC   Sinop   SINOP                  5      51                N       S       N       N           1979                       1         -11,858-55,5009     3453194,339
  510792 5107925ATIVO   MUNIC   Sorriso SORRISO                5      51                N       S       N       N           1987                       1        -12,5518-55,7259     3659345,755
  510794 5107941ATIVO   MUNIC   TabaporaTABAPORA               5      51                N       S       N       N           1993                       1        -11,3075-56,8248       08225,389
  510795 5107958ATIVO   MUNIC   Tangara TANGARA DA SERRA       5      51                N       S       N       S           1976                       1        -14,6238-57,4913     38711565,98
  510800 5108006ATIVO   MUNIC   Tapurah TAPURAH                5      51                N       S       N       N           1989                       1        -12,7321-56,5195     39311600,13
  510805 5108055ATIVO   MUNIC   Terra NoTERRA NOVA DO NO       5      51                N       S       N       N           1986                       1        -10,5971 -55,116     2502302,332
  510810 5108105ATIVO   MUNIC   Tesouro TESOURO                5      51                N       S       N       N           1953                       1        -16,0752-53,5558     4104017,269
  510820 5108204ATIVO   MUNIC   TorixoreTORIXOREU              5      51                N       S       N       N           1953                       1        -16,1975-52,5588     3352397,925
  510830 5108303ATIVO   MUNIC   Uniao DoUNIAO DO SUL           5      51                N       S       N       N           1997                       1        -11,5355-54,3748     3504581,121
  510835 5108352ATIVO   MUNIC   Vale De VALE DE SAO DOMI       5      51                N       S       N       S           2001                       1        -15,2959-59,0646       02001,347
  510840 5108402ATIVO   MUNIC   Varzea GVARZEA GRANDE          5      51                N       S       N       N           1948                       1        -15,6581-56,1447     190 938,057
  510850 5108501ATIVO   MUNIC   Vera    VERA                   5      51                N       S       N       N           1986                       1         -12,284-55,3009     3832950,868
  510860 5108600ATIVO   MUNIC   Vila RicVILA RICA              5      51                N       S       N       N           1986                       1        -10,0134-51,1168     2557433,445
  510880 5108808ATIVO   MUNIC   Nova GuaNOVA GUARITA           5      51                N       S       N       N           1993                       1        -10,3088-55,4031     300 1087,31
  510885 5108857ATIVO   MUNIC   Nova MarNOVA MARILANDIA        5      51                N       S       N       N           1993                       1        -14,3625-56,9732     3001942,816
  510890 5108907ATIVO   MUNIC   Nova MarNOVA MARINGA           5      51                N       S       N       N           1993                       1        -13,0114-57,0986     37011512,47
